Phylum,Class,Organism,Taxon
Crenarchaeota,Thermoprotei,Metallosphaera_sedula,399549
Crenarchaeota,Thermoprotei,Sulfolobus_acidocaldarius_DSM_639,330779
Crenarchaeota,Thermoprotei,Cenarchaeum_symbiosum,414004
Euryarchaeota,Halobacteria,Haloferax_volcanii,309800
Acidobacteria,NULL,Candidatus_chloracidobacterium_thermophilum,981222
Actinobacteria,Actinobacteria,Pseudonocardia_sp,675635
Actinobacteria,Actinobacteridae,Arthrobacter_sp_FB24,290399
Actinobacteria,Actinobacteridae,Kineococcus_radiotolerans_SRS30216,266940
Actinobacteria,Actinobacteridae,Actinosynnema_mirum_DSM_43827,446462
Actinobacteria,Actinobacteridae,Brachybacterium_faecium_DSM_4810,446465
Actinobacteria,Actinobacteridae,Cellulomonas_flavigena_DSM_20109,44646
Actinobacteria,Actinobacteridae,Nakamurella_multipartita_DSM_44233,479431
Actinobacteria,Actinobacteridae,Nocardiopsis_dassonvillei_DSM_43111,446468
Actinobacteria,Actinobacteridae,Saccharomonospora_viridis_DSM_43017,471857
Actinobacteria,Actinobacteridae,Sanguibacter_keddieii_DSM_10542,446469
Actinobacteria,Actinobacteridae,Stackebrandtia_nassauensis_DSM_44728,446470
Actinobacteria,Actinobacteridae,Thermobispora_bispora_DSM_43833,469371
Actinobacteria,Actinobacteridae,Xylanimonas_cellulosilytica_DSM_15894,446471
Actinobacteria,Actinobacteridae,Mycobacterium_tuberculosis,83332
Actinobacteria,Coriobacteridae,Cryptobacterium_curtum_DSM_15641,469378
Actinobacteria,Coriobacteridae,Slackia_heliotrinireducens_DSM_20476,471855
